Domain,solver_1,solver_2,solver_3,solver_4
agricola-sat18-strips,12,12,4,11
barman-sat11-strips,20,18,8,0
barman-sat14-strips,20,12,1,0
caldera-sat18-strips,16,12,18,15
caldera-split-sat18-strips,7,5,0,2
cave-diving-sat14-strips,7,7,0,7
childsnack-sat14-strips,6,7,0,0
city-car-sat14-strips,5,3,0,19
data-network-sat18-strips,13,12,0,2
elevators-sat08-strips,30,30,30,30
elevators-sat11-strips,20,20,16,17
floortile-sat11-strips,6,6,0,9
floortile-sat14-strips,2,2,0,5
folding-sat23-strips,11,5,1,0
ged-sat14-strips,20,19,0,2
genome-edit-distances-sat14-strips,20,20,0,2
hiking-sat14-strips,20,20,0,20
maintenance-sat14-strips,11,10,6,1
nomystery-sat11-strips,12,8,0,16
nurikabe-sat18-strips,9,9,2,10
parking-sat11-strips,20,20,3,20
parking-sat14-strips,20,13,1,13
peg-solitaire-sat08-strips,30,30,4,30
pegsol-sat11-strips,20,20,1,20
recharging-robots-sat23-strips,12,11,4,11
ricochet-robots-sat23-strips,10,11,0,0
scanalyzer-3d-sat08-strips,30,28,24,28
scanalyzer-sat11-strips,20,18,17,18
settlers-sat18-strips,19,12,7,8
snake-sat18-strips,5,3,2,1
sokoban-sat08-strips,29,29,1,25
sokoban-sat11-strips,19,19,1,16
spider-sat18-strips,16,15,9,3
termes-sat18-strips,14,9,1,0
tetris-sat14-strips,13,14,0,1
thoughtful-sat14-strips,15,11,10,11
tidybot-sat11-strips,17,16,8,15
transport-sat08-strips,30,27,24,29
transport-sat11-strips,18,11,9,13
transport-sat14-strips,16,7,6,6
visitall-sat11-strips,20,3,4,12
visitall-sat14-strips,20,0,0,3
woodworking-sat08-strips,30,30,8,29
woodworking-sat11-strips,20,20,1,19
